<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.29	21:00:00	1.18869	1.18906	1.18865	1.18902	562	0	0
2021.07.29	21:30:00	1.18903	1.18913	1.18858	1.18913	546	0	0
2021.07.29	22:00:00	1.18913	1.18927	1.18900	1.18901	450	0	0
2021.07.29	22:30:00	1.18898	1.18912	1.18874	1.18879	855	0	0
2021.07.29	23:00:00	1.18879	1.18887	1.18847	1.18862	656	0	0
2021.07.29	23:30:00	1.18862	1.18872	1.18845	1.18865	538	0	0
2021.07.30	00:00:00	1.18858	1.18875	1.18826	1.18860	213	0	17
2021.07.30	00:30:00	1.18867	1.18895	1.18856	1.18881	224	0	7
2021.07.30	01:00:00	1.18872	1.18898	1.18864	1.18895	402	0	0
2021.07.30	01:30:00	1.18896	1.18911	1.18882	1.18905	251	0	0
2021.07.30	02:00:00	1.18907	1.18943	1.18903	1.18927	241	0	0
2021.07.30	02:30:00	1.18927	1.18943	1.18897	1.18902	200	0	0
2021.07.30	03:00:00	1.18902	1.18917	1.18859	1.18871	863	0	0
2021.07.30	03:30:00	1.18872	1.18886	1.18814	1.18814	1375	0	0
2021.07.30	04:00:00	1.18815	1.18844	1.18791	1.18798	1155	0	0
2021.07.30	04:30:00	1.18798	1.18841	1.18796	1.18825	1198	0	0
2021.07.30	05:00:00	1.18824	1.18830	1.18787	1.18827	739	0	0
2021.07.30	05:30:00	1.18827	1.18845	1.18793	1.18808	1203	0	0
2021.07.30	06:00:00	1.18808	1.18832	1.18794	1.18809	738	0	0
2021.07.30	06:30:00	1.18809	1.18816	1.18775	1.18784	850	0	0
2021.07.30	07:00:00	1.18784	1.18796	1.18777	1.18790	432	0	0
2021.07.30	07:30:00	1.18789	1.18815	1.18782	1.18785	458	0	0
2021.07.30	08:00:00	1.18785	1.18798	1.18768	1.18774	565	0	0
2021.07.30	08:30:00	1.18774	1.18784	1.18751	1.18784	742	0	0
2021.07.30	09:00:00	1.18784	1.18828	1.18765	1.18765	1202	0	0
2021.07.30	09:30:00	1.18766	1.18857	1.18749	1.18855	1097	0	0
2021.07.30	10:00:00	1.18855	1.18953	1.18841	1.18944	1705	0	0
2021.07.30	10:30:00	1.18944	1.18956	1.18900	1.18954	1187	0	0
2021.07.30	11:00:00	1.18954	1.18996	1.18930	1.18974	1093	0	0
2021.07.30	11:30:00	1.18974	1.19075	1.18961	1.19065	1129	0	0
2021.07.30	12:00:00	1.19066	1.19067	1.18996	1.19039	1309	0	0
2021.07.30	12:30:00	1.19039	1.19087	1.18959	1.18971	1329	0	0
2021.07.30	13:00:00	1.18971	1.18975	1.18845	1.18898	1369	0	0
2021.07.30	13:30:00	1.18898	1.19028	1.18893	1.19009	1757	0	0
2021.07.30	14:00:00	1.19011	1.19046	1.18971	1.18991	1701	0	0
2021.07.30	14:30:00	1.18991	1.18999	1.18824	1.18836	1576	0	0
2021.07.30	15:00:00	1.18836	1.18947	1.18836	1.18934	1286	0	0
2021.07.30	15:30:00	1.18933	1.18972	1.18774	1.18792	1989	0	0
2021.07.30	16:00:00	1.18792	1.18826	1.18752	1.18784	2052	0	0
2021.07.30	16:30:00	1.18784	1.18865	1.18750	1.18780	2233	0	0
2021.07.30	17:00:00	1.18780	1.18828	1.18661	1.18677	2668	0	0
2021.07.30	17:30:00	1.18678	1.18700	1.18517	1.18590	3192	0	0
2021.07.30	18:00:00	1.18588	1.18640	1.18554	1.18577	2453	0	0
2021.07.30	18:30:00	1.18580	1.18657	1.18566	1.18641	1359	0	0
2021.07.30	19:00:00	1.18640	1.18640	1.18585	1.18605	1168	0	0
2021.07.30	19:30:00	1.18604	1.18628	1.18588	1.18590	938	0	0
2021.07.30	20:00:00	1.18590	1.18622	1.18557	1.18603	1027	0	0
2021.07.30	20:30:00	1.18603	1.18628	1.18579	1.18614	837	0	0
2021.07.30	21:00:00	1.18614	1.18628	1.18548	1.18550	976	0	0
2021.07.30	21:30:00	1.18548	1.18595	1.18540	1.18561	879	0	0
2021.07.30	22:00:00	1.18561	1.18598	1.18549	1.18597	903	0	0
2021.07.30	22:30:00	1.18596	1.18641	1.18586	1.18621	716	0	0
2021.07.30	23:00:00	1.18621	1.18631	1.18603	1.18625	576	0	0
2021.07.30	23:30:00	1.18625	1.18766	1.18622	1.18730	687	0	0
2021.08.02	00:00:00	1.18641	1.18687	1.18630	1.18637	160	0	27
2021.08.02	00:30:00	1.18656	1.18684	1.18623	1.18652	170	0	7
2021.08.02	01:00:00	1.18656	1.18661	1.18630	1.18656	359	0	3
2021.08.02	01:30:00	1.18655	1.18695	1.18645	1.18681	285	0	1
2021.08.02	02:00:00	1.18681	1.18683	1.18632	1.18637	232	0	0
2021.08.02	02:30:00	1.18637	1.18664	1.18621	1.18664	220	0	0
2021.08.02	03:00:00	1.18662	1.18700	1.18628	1.18688	850	0	0
2021.08.02	03:30:00	1.18688	1.18712	1.18664	1.18692	850	0	0
2021.08.02	04:00:00	1.18693	1.18701	1.18653	1.18664	871	0	0
2021.08.02	04:30:00	1.18663	1.18663	1.18610	1.18634	1240	0	0
2021.08.02	05:00:00	1.18633	1.18662	1.18590	1.18660	977	0	0
2021.08.02	05:30:00	1.18660	1.18714	1.18660	1.18713	958	0	0
2021.08.02	06:00:00	1.18713	1.18724	1.18690	1.18719	320	0	0
2021.08.02	06:30:00	1.18719	1.18729	1.18707	1.18714	433	0	0
2021.08.02	07:00:00	1.18714	1.18735	1.18711	1.18725	379	0	0
2021.08.02	07:30:00	1.18725	1.18725	1.18703	1.18705	427	0	0
2021.08.02	08:00:00	1.18704	1.18716	1.18661	1.18714	540	0	0
2021.08.02	08:30:00	1.18717	1.18754	1.18711	1.18718	680	0	0
