,Creation Time,Terminal Time,Current Time,Creation-Terminal Time,Terminal-Current Time,Creation-Current Time,Bid,Ask,TypeBroker,BrokerName,DR,Terminal,Protocol,Period,Symbol,Ask_Diff,Bid_Diff,UP,Spread,OpeningTime,ClosingTime
11961,2022-06-28 06:20:14.909000,2022-06-28 06:20:14.909000,2022-06-28 06:20:14.912403,0.0,3.403,3.403,1.05816,1.05823,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,0.0,0.0,0,8e-05,200.0,200.0
11962,2022-06-28 06:20:14.918000,2022-06-28 06:20:14.918000,2022-06-28 06:20:14.940402,0.0,22.402,22.402,1.05814,1.0582,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,-2.999999999997449e-05,-1.999999999990898e-05,-1,8e-05,200.0,200.0
11963,2022-06-28 06:20:14.982000,2022-06-28 06:20:14.982000,2022-06-28 06:20:14.985404,0.0,3.404,3.404,1.05815,1.05826,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD.,-5.000000000010552e-05,-5.000000000010552e-05,-1,0.00011,200.0,200.0
11964,2022-06-28 06:20:15.011000,2022-06-28 06:20:15.011000,2022-06-28 06:20:15.014430,0.0,3.43,3.43,1.05809,1.0582,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD.,-5.999999999994898e-05,-5.999999999994898e-05,-1,0.00011,200.0,200.0
11965,2022-06-28 06:20:15.521000,2022-06-28 06:20:15.521000,2022-06-28 06:20:15.524403,0.0,3.403,3.403,1.05813,1.0582,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,0.0,-1.0000000000065512e-05,0,8e-05,200.0,200.0
11966,2022-06-28 06:20:15.799000,2022-06-28 06:20:15.799000,2022-06-28 06:20:15.801429,0.0,2.429,2.429,1.05809,1.0582,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD.,0.0,0.0,0,0.00011,200.0,200.0
11967,2022-06-28 06:20:15.911000,2022-06-28 06:20:15.911000,2022-06-28 06:20:15.914403,0.0,3.403,3.403,1.05813,1.0582,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,0.0,0.0,0,8e-05,200.0,200.0
11968,2022-06-28 06:20:16.800000,2022-06-28 06:20:16.800000,2022-06-28 06:20:16.803402,0.0,3.402,3.402,1.05809,1.0582,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD.,0.0,0.0,0,0.00011,200.0,200.0
11969,2022-06-28 06:20:16.820000,2022-06-28 06:20:16.820000,2022-06-28 06:20:16.829402,0.0,9.402,9.402,1.05813,1.05819,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,-1.0000000000065512e-05,0.0,0,8e-05,200.0,200.0
11970,2022-06-28 06:20:16.907000,2022-06-28 06:20:16.907000,2022-06-28 06:20:16.909402,0.0,2.402,2.402,1.05813,1.05819,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,0.0,0.0,0,8e-05,200.0,200.0
11971,2022-06-28 06:20:16.915000,2022-06-28 06:20:16.915000,2022-06-28 06:20:16.936404,0.0,21.404,21.404,1.05813,1.0582,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,1.0000000000065512e-05,0.0,0,8e-05,200.0,200.0
11972,2022-06-28 06:20:17.797000,2022-06-28 06:20:17.797000,2022-06-28 06:20:17.799403,0.0,2.403,2.403,1.05809,1.0582,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD.,0.0,0.0,0,0.00011,200.0,200.0
11973,2022-06-28 06:20:17.906000,2022-06-28 06:20:17.906000,2022-06-28 06:20:17.909403,0.0,3.403,3.403,1.05813,1.0582,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,0.0,0.0,0,8e-05,200.0,200.0
11974,2022-06-28 06:20:17.926000,2022-06-28 06:20:17.926000,2022-06-28 06:20:17.935429,0.0,9.429,9.429,1.05812,1.05819,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,-1.0000000000065512e-05,-1.0000000000065512e-05,-1,8e-05,200.0,200.0
11975,2022-06-28 06:20:18.022000,2022-06-28 06:20:18.022000,2022-06-28 06:20:18.025429,0.0,3.429,3.429,1.05812,1.0582,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,1.0000000000065512e-05,0.0,0,8e-05,200.0,200.0
11976,2022-06-28 06:20:18.321000,2022-06-28 06:20:18.321000,2022-06-28 06:20:18.324402,0.0,3.402,3.402,1.05812,1.05819,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,-1.0000000000065512e-05,0.0,0,8e-05,200.0,200.0
11977,2022-06-28 06:20:18.625000,2022-06-28 06:20:18.625000,2022-06-28 06:20:18.628404,0.0,3.404,3.404,1.05812,1.0582,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,1.0000000000065512e-05,0.0,0,8e-05,200.0,200.0
11978,2022-06-28 06:20:18.797000,2022-06-28 06:20:18.797000,2022-06-28 06:20:18.800404,0.0,3.404,3.404,1.05809,1.0582,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD.,0.0,0.0,0,0.00011,200.0,200.0
11979,2022-06-28 06:20:18.906000,2022-06-28 06:20:18.906000,2022-06-28 06:20:18.909403,0.0,3.403,3.403,1.05812,1.0582,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,0.0,0.0,0,8e-05,200.0,200.0
11980,2022-06-28 06:20:19.325000,2022-06-28 06:20:19.325000,2022-06-28 06:20:19.329404,0.0,4.404,4.404,1.05812,1.05821,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,1.0000000000065512e-05,0.0,0,8e-05,200.0,200.0
11981,2022-06-28 06:20:19.797000,2022-06-28 06:20:19.797000,2022-06-28 06:20:19.800404,0.0,3.404,3.404,1.05809,1.0582,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD.,0.0,0.0,0,0.00011,200.0,200.0
11982,2022-06-28 06:20:19.907000,2022-06-28 06:20:19.907000,2022-06-28 06:20:19.910403,0.0,3.403,3.403,1.05812,1.05821,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,0.0,0.0,0,8e-05,200.0,200.0
11983,2022-06-28 06:20:20.435000,2022-06-28 06:20:20.435000,2022-06-28 06:20:20.438428,0.0,3.428,3.428,1.05812,1.0582,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,-1.0000000000065512e-05,0.0,0,8e-05,200.0,200.0
11984,2022-06-28 06:20:20.625000,2022-06-28 06:20:20.625000,2022-06-28 06:20:20.630403,0.0,5.403,5.403,1.05812,1.05819,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,-1.0000000000065512e-05,0.0,0,8e-05,200.0,200.0
11985,2022-06-28 06:20:20.737000,2022-06-28 06:20:20.737000,2022-06-28 06:20:20.740404,0.0,3.404,3.404,1.05812,1.0582,,Conotoxia Limited,,MT4,ZMQ,60,EURUSD.CX,1.0000000000065512e-05,0.0,0,8e-05,200.0,200.0
